书名,作者,更新到,简介,详细连接,封面图
龙血武帝,流水无痕,第5271章：杀入宫殿,【玄幻火书】诸天万界，万道争锋！逆命少年得困龙升天柱，觉醒亿万龙力，横空出世，淬上古龙血，修浮屠功法...?详细>>,http://book.km.com/shuku/1289743.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神墓,辰东,我的新书《圣墟》现已上传,一个死去万载岁月的平凡青年从远古神墓中复活而出……?详细>>,http://book.km.com/shuku/90804.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
校园修真高手,木榆,第3804章 轮回,一个差等生，一次偶然的意外。让他获得了修真第一功法，从此命运彻底的改变。修炼异能，保护校花！用爆表的...?详细>>,http://book.km.com/shuku/1291962.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙傲战神,零零九,第三千四百六十章 主宰【大结局】,少年龙傲，十年沉寂，从天才沦落为废物，受尽奚落和嘲讽。十年坚持，万次失败，终获神秘龙樱以轮回圣体，修...?详细>>,http://book.km.com/shuku/1115065.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天珠变,唐家三少,麻烦大家把推荐票投给新书《神印王座》,人有本命珠，觉醒后或为意珠、或为体珠，如手串分别在左右手腕处盘旋。天珠如人类之双胞胎，当意、体双珠同...?详细>>,http://book.km.com/shuku/118051.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真四万年,卧牛真人,第3218章 1999，秃鹫之战,“倘若这宇宙，真是一片残酷血腥的黑暗森林，我们修真者，也会燃烧自己的生命，绽放出微弱的火花１“哪怕这...?详细>>,http://book.km.com/shuku/1323806.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市之最强纨绔,左耳思念,最后再说几句,五百年后国家培养出来的超级人才，在一次执行任务中身亡，灵魂穿越附身在了一名患有惊恐症的大家族少爷身上...?详细>>,http://book.km.com/shuku/191700.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九仙图,秋晨,完本感言（附新书信息）,被天道所不容，降下无上封印的少年偶得一幅画。画里住着九位自称为仙人的灵魂。于是，一个逆天强者的逆天传...?详细>>,http://book.km.com/shuku/1251758.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狂徒修神,妖魂,第2094章 飞升长生界（大结局）,他是一个落魄少年，一场血腥灭门杀戮粉碎了少年的梦想，家族的歧视，令少年内心充满恐惧、无助、悲痛、绝望...?详细>>,http://book.km.com/shuku/1143318.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九龙神鼎,苍天霸主,第二千七百一十七章 绝望之路,一念可碎日月星辰，一指可灭苍天霸主，谈笑间，诸天十界灰飞烟灭。一个从山沟走出的穷小子，手握九龙神鼎，...?详细>>,http://book.km.com/shuku/1318627.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不死武尊,妖月夜,第二千二百四十章 来日再会【番外完结】,一个落魄的少年偶得吞天神诀，可吞噬一切天地元气为己用，从此逆天破命，一雪前耻，凭借着神奇的生命武魂，...?详细>>,http://book.km.com/shuku/940584.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狂武战帝,被罚站的豆豆,一个送实体书的小活动,前世，遭背叛，百位武尊围攻，惨死战枭星，阴差阳错，上天给了叶轻寒一次重来的机会。他强势崛起，杀入九幽...?详细>>,http://book.km.com/shuku/1351159.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
太古神王,净无痕,第2052章 大结局,九天大陆，天穹之上有九条星河，亿万星辰，皆为武命星辰，武道之人，可沟通星辰，觉醒星魂，成武命修士。传...?详细>>,http://book.km.com/shuku/1349975.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
全职法师,乱,第2471章 交锋！,一觉醒来，世界大变。熟悉的高中传授的是魔法，告诉大家要成为一名出色的魔法师。居住的都市之外游荡着袭击...?详细>>,http://book.km.com/shuku/1351338.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝世护花高手,梦开,第3399章　怕打击到你！,世界上最痛苦的事情不是生与死，而是被同一个女人折磨十年。古武隐世门派逍遥门下，唯一男弟子陈笑，因为忍...?详细>>,http://book.km.com/shuku/1343929.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无上神王,草根,第三千二百八十四章 烟云阁,为给母亲治病，孟凡违反族规私自金山采药，机缘巧合下获得一颗黑色珠子，传承不世奇功，自此逆转人生，痛打...?详细>>,http://book.km.com/shuku/945607.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市无上仙医,断桥残雪,第一千九百八十四章 混沌教主（全书完）,他当过搬砖工，当过酒吧服务生，当过办公室文员，当过老师，当过医生……他是千千万万打工仔中的一名，为了...?详细>>,http://book.km.com/shuku/397697.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
特种兵王在都市,李暮歌,第1309章 大结局！,兵王回归都市，却意外的和美女总裁结婚，既然老婆那么有钱，我就当个吃软饭的小白脸好了！别人欺我，辱我，...?详细>>,http://book.km.com/shuku/1100945.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的绝色明星老婆,红烧龙虾,第3764章　天道腐血出现,屌丝青年林枫，在火车上救了美女明星贝雪茵，同时获得了欢喜佛舍利，借助欢喜佛舍利，林枫掌握了透视功能，...?详细>>,http://book.km.com/shuku/1338509.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
刀破苍穹,何无恨,第2555章 大团圆（大结局+完结感言）,自带升级系统，诛邪魔，斗天神，挥刀破苍穹！现代宅男穿越异界，成为玉京城头号大纨绔，一个废物大少爷。幸...?详细>>,http://book.km.com/shuku/1261825.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神控天下,我本纯洁,第1744章：我或许还不算无敌！,穿越到玄灵大陆的凌笑偶得《控神诀》，从此抓傀儡、控神兽，一人独战千万强敌。收美女、踩小人，随心所欲随...?详细>>,http://book.km.com/shuku/11239.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级兵王在都市,明日复明日,写在结束,超级特种兵李一飞退役回归都市，就被受不了父母催促的公司美女老总许盈盈雇佣着当了假冒男友，可是许盈盈的...?详细>>,http://book.km.com/shuku/1350066.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强特种保镖,红酒一杯,第3313章 妹子多吗,他是兵王中的王者！他是杀手界的死神！他无限嚣张！彪悍兵王叶龙，离开神秘部队，重归花都，奉神秘老头之命...?详细>>,http://book.km.com/shuku/1349924.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
盘龙,我吃西红柿,番茄新书《飞剑问道》第一章已经上传！,大小的血睛鬃毛狮，力大无穷的紫睛金毛猿，毁天灭地的九头蛇皇，携带着毁灭雷电的恐怖雷龙……这里无奇不有...?详细>>,http://book.km.com/shuku/100408.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
太古至尊,两处闲愁,第2616章：只是完成战场任务罢了！,【玄幻经典】【热血爽文】天魂大陆上九大至尊之一，最年轻的丹尊，重生成为一个普通世家的小辈，莫青云。从...?详细>>,http://book.km.com/shuku/1350652.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
高手无敌,卡肥猫,第三千五百九十章 可怕的巨蟒,一个神秘古武门派的传人！一个佣兵国度里面的大帝！一个高手中的超级高手！在都市中叱咤风云，走向最强巅峰...?详细>>,http://book.km.com/shuku/1351012.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无敌天下,神见,第三千一百三十八章 时光之花,强者，永远都是寂寞的，只有战胜寂寞，才能无敌天下！地球少林世家亲传弟子黄小龙携带华夏无上武学秘典《易...?详细>>,http://book.km.com/shuku/296744.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
盖世仙尊,王小蛮,第3329章 探索殷墟,“人为什么要活着？活着就是为了见识１“走更多的路，见识更多的精彩，死了也不遗憾１地球来的小男生丁浩，...?详细>>,http://book.km.com/shuku/1289472.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
