书名,作者,更新到,简介,详细连接,封面图
我的美女老师,伯爵,第1439章 婚礼,清纯靓丽的班主任竟然是个靠身体上位的狐狸精，我不小心得罪了她，被她处处刁难，本来我无计可施，但一次意...?详细>>,http://book.km.com/shuku/1392560.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
乡村小医仙,北秋,第1976章 我系渣渣辉,一不小心秦凡看到村长媳妇偷情，机缘巧合之下获得异能，从此走上发家致富路，各路美女追来，桃花运不断，众...?详细>>,http://book.km.com/shuku/1457921.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女总裁的贴身高手,风中的阳光,第2163章 后记（十三）！,雇佣兵世界的王者，情场受挫之后返回家乡，被美女总裁聘为临时男友。凭借自身能力，他为美女化解了一场又一...?详细>>,http://book.km.com/shuku/1327723.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
无上神帝,蜗牛狂奔,第二千一百八十二章 血枭的手段,万千大世界，强者如林。一代仙王牧云，重生到一个备受欺凌的私生子身上，誓要搅动风云，重回巅峰。苍茫天域...?详细>>,http://book.km.com/shuku/1390349.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
特种兵王,金牌书生,第五千八百九十章 两大指挥使,兵王之王宋楚扬，回归都市，找未婚妻完婚。女总裁不肯履约，让他从公司保安做起，好让他知难而退。哪知宋楚...?详细>>,http://book.km.com/shuku/1390706.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
铁血战狼,玖月,第640章 意外的误会,战狼中队特种兵陆无邪，因犯错被开除军籍，服役期满回归都市生活，为了保护亲人，他拳打富少，脚踩权贵，渐...?详细>>,http://book.km.com/shuku/1474755.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品术士,土豆,第2482章 飞升成神（大结局）,本是都市小屌丝，一场意外，却让他成为了豪门座上宾；他是巨富门中客；看得一手好风水，铁口直断；他更有出...?详细>>,http://book.km.com/shuku/1364507.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
乡野村民,牙签弟,第两千四百六十二章 赌约,英雄救美，剧情反转，被一脚揣入河中，偶得神器。从此之后，乡村中任我逍遥！偷偷告诉你们我现在的生活：“...?详细>>,http://book.km.com/shuku/1409656.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市医圣,猫族皇子,第768章：大结局,实习生赵晨飞，意外吸收了几颗九龙宝珠，从此武学、医学、玄学集于一身，屌丝逆袭。冰雪美人主动融化，魔鬼...?详细>>,http://book.km.com/shuku/1463128.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市极品医王,画雨,第2331章　为何不还手,凌冽，一个除了名字什么都没有的流浪儿，却意外成为了神农谷的嫡传弟子，四年后凌冽学成归来，凭借神乎其技...?详细>>,http://book.km.com/shuku/1412454.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天命神相,西域刀客,第两千五十四章 林三公子的怀疑（下),九是数字中最大的，但计算机的源代码为什么却由零和一组成？因为这个世界是从无到有，从一开始的！所以老子...?详细>>,http://book.km.com/shuku/1378423.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九幽天帝,给力,第2852章 花无缺,为夺有望冲击神境至宝万物之源，一代强者九幽大帝陨落，重生为一名叫石枫的少年。且看石枫如何凭借前世苏醒...?详细>>,http://book.km.com/shuku/1349768.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级吞噬系统,月落歌不落,第四千一百二十七章 十九级液,穿越之后，叶轩偶得吞噬系统，不仅可以吞噬万物，还可兑换血脉、武学、神兵、丹药、宝物……这简直是强到爆...?详细>>,http://book.km.com/shuku/1390681.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强反套路系统,太上布衣,第一千三百七十三章 打个赌,原书名《最强装逼打脸系统》！最强反套路，我TM反手就是一个套路，横扫修仙界无敌手，就问一声还有谁？装...?详细>>,http://book.km.com/shuku/1412901.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超凡小农民,肥尾蝎,第1722章 小章鱼活了,见义勇为，却含冤入狱两年，归来之后，携带神农传承，将白水村发展的繁华无比，各路美女开始云集白水村！?详细>>,http://book.km.com/shuku/1415392.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强农民混都市,飞舞激扬,第3317章 大结局,天苍苍野茫茫，纯美校花爱农民！大学四年，校花多次设计都失身未遂，毕业在即，小刚就要回乡种地了，今晚，...?详细>>,http://book.km.com/shuku/1327716.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
巅峰小农民,白菜汤,第二千三百七十六章 永恒不灭（全书完）,获得远古传承，小农民从此走上阳光大道。当清纯村姑、美艳女总裁、风流老板娘、火辣女教师、妖媚迷人校花、...?详细>>,http://book.km.com/shuku/1389642.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
春野小村医,良人待归,第2190章 阴霾下的杀机,回乡小农民无意得神农咒语，开始了自己强悍的人生。青山绿水，他要打造一片人间乐土。钱要有，美女更要有！...?详细>>,http://book.km.com/shuku/1457926.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武破九荒,无敌小贝,第2480章 谁与争锋,真灵大陆，天骄当世，妖孽争锋，王者长啸可落星辰，皇者翻手可遮苍穹。出身卑微的少年萧叶，得远古传承，从...?详细>>,http://book.km.com/shuku/1349934.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
乡村小神医,牧梧,第1413章 三千大道！,山沟里的穷小子偶得玄妙的长生造化诀，种田、治并风水、占卜……样样都行，某日修炼小成的穷小子随手占卜了...?详细>>,http://book.km.com/shuku/1392329.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神级修炼系统,包租东,第1683章 胡老爷子的震惊,一次意外，让宅男秦少风穿越重生到了异世，成为了连泱国蓝江城秦家大少。什么修为被废？丹田也无法修复了？...?详细>>,http://book.km.com/shuku/1343900.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
万道剑尊,打死都要钱,第三千二百九十二章 暗潮涌动（上）,【热血爽文，一日十更？远古大战，神域崩塌，众强陨落。大战之后，天地受限，世间再无神魔，只留下一座座神...?详细>>,http://book.km.com/shuku/1393153.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
网游之绝对巅峰,轩疯狂,后记,曾经的王者，不败的神话，却因为一个女人，在诸神巅峰之战前夕消失，错失全球十大顶尖玩家排名资格。如今的...?详细>>,http://book.km.com/shuku/1350018.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
道士不好惹,困的睡不着,第一千六百三十章 番外 昆仑山上，那一剑的风采,终南山，世人只知终南山有全真教，却不知终南山下有一座破败的道观。世人只知茅山善捉鬼，天师精辟邪，杨公...?详细>>,http://book.km.com/shuku/1388863.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强修炼系统,爆炒鱼子酱,第1000章  四海靖平（全剧终）,游戏玩家王浩，带着九龙系统穿越元武大陆，从此踩天才，灭凶兽，怀搂绝世美女，成就无上霸业！?详细>>,http://book.km.com/shuku/1341795.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
终极狂少,陨落星辰,第一千五百章　大结局,校花不一定纯情，也可以妩媚。女神不一定性感，也可以温柔。警花不一定英姿，也可以可爱。少爷不一定狂妄，...?详细>>,http://book.km.com/shuku/1390686.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强特种兵之战神传说,乱舞沙,第2571章：不是你死就是我亡,【火热经典，军事必读！这里有最热血的故事，这里有最激烈的战斗，这里也有誓死要守卫的荣誉？消失六年的兵...?详细>>,http://book.km.com/shuku/1412928.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
非常秘书,洞房不败,第3920  大结局,一次改革，他分到了一个他做梦也想不到的单位；一次意外，他得到了他做梦也想不到的财富；一次偶遇，他获得...?详细>>,http://book.km.com/shuku/369781.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品捉鬼系统,解三千,第一千二百二十六章 欠钱是大爷,鬼王：“等等！我闻到了人类装逼的气息，撤……。”阎王爷：“十万阴兵听令，给我拿下那装逼犯。”万众瞩目...?详细>>,http://book.km.com/shuku/1466152.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神藏,打眼,第一千一百六十八章 灵马（上）,一念之间，沧海桑田打眼带你进入古玩的世界！！！?详细>>,http://book.km.com/shuku/1389695.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武神至尊,我吃面包,第两千九百四十六章　天坑神矿,21世纪闷骚青年林飞一不小心从地球穿越到元武界，可悲的是穿越对象竟是一个傻子，唉，认命吧。可是傻子白...?详细>>,http://book.km.com/shuku/1338317.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
金钢进化,漂泊的黑猫,完本感言！,2016年，中国宇航员登陆月球，本想接回嫦娥，却在月球发现神秘三眼巨人尸体。三年后，月球变成绿色星球...?详细>>,http://book.km.com/shuku/1391404.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强弃少,鹅是老五,新书消息,叶默蓦然清醒过来的时候，才发现周围的一切似乎都变了，美女师父也不见了。他也发现了自己成了被世家抛弃的...?详细>>,http://book.km.com/shuku/144130.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
私密按摩师,狸力,第一千一百七十六章：垃圾,当别人还在用辛勤的双手脱贫致富，赵斌已经用双手征服女人了，一百个女人就会有九十九个成为他的客户，不管...?详细>>,http://book.km.com/shuku/1474129.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
地府朋友圈,花生鱼米,第2127章 不是你死还是你死,带牛头马面撩妹、教黑白无常泡妞，阎王别害羞，萝莉、御姐、熟女少妇、喜欢哪个挑哪个！?详细>>,http://book.km.com/shuku/1391186.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神医小农民,炊饼哥哥,第2018章 如梦一场,山村少年意外获得了神农氏的一缕神魂，获得大量的农业和中医知识，变得无所不能。他卖草药、办工厂，带领乡...?详细>>,http://book.km.com/shuku/1378872.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品神医在花都,乱红莲,第2214章　加入天星宗,极品神医，强势回归花都，游戏人间。高富帅？那是什么，被踩在脚下的这个么？金钱？钱太多了数都数不过来埃...?详细>>,http://book.km.com/shuku/1390239.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
贴身狂兵,木脑壳,第3132章 灭门计划,嚣张狂少历练花都，美女如云来者不拒。女神校花未婚妻，教师警花小姨子；明星杀手女刺客，总裁御姐女秘书。...?详细>>,http://book.km.com/shuku/1391184.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市最强修真学生,林北留,第1207章 江千宇求的我,【火爆畅销】无敌仙尊，重生都市，降临到了一名普通的高三学生身上。会修真、通医道、能隐身，游走校园，玩...?详细>>,http://book.km.com/shuku/1473110.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品透视保镖,秦长青,第2855章 滔天血债,地摊小子叶开捡了块玉石，意外得到透视能力，更有个绝代妖女住进他的身体！从此生活多姿多彩，赌石？一眼看...?详细>>,http://book.km.com/shuku/1392208.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
玄武战神,岁月如水流,第1600章  神衰时代,“爹娘，我一定会让你们二老过上锦衣玉食，钟鸣鼎食的幸福生活。”叶向阳如是说。东海沿岸，九州帝国，镇海...?详细>>,http://book.km.com/shuku/1391252.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生初中校园：超级女学生,小白莲儿,第2433章 炼丹工会的大门，随时为你打开,她是修真大陆第一女帝，被逼自爆同归于尽后，意外魂穿地球。她是又丑又蠢又学渣，顶着私生女头衔的初三女生...?详细>>,http://book.km.com/shuku/1462880.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
抗日之无敌战神,王存业,第一千二百九十九章 侦查,陈庆之，共和国有史以来的最强兵王，却在执行任务的时候意外穿越到了1937年的南京保卫战上。此时的南京...?详细>>,http://book.km.com/shuku/1468258.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的大小美女老婆,油条,第3928章　全新世界！（结局）,霸道女总裁是蕾丝，校花清纯又傲娇，萝莉妹妹爱卖萌，让兵王易小川迎来人生的另一个高峰，当然更重要的是，...?详细>>,http://book.km.com/shuku/1342078.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异能神医在都市,凌风傲世,第1524章  看你这妞儿不错，要不转让给我？,中医学院学生秦凡，偶然间获先祖医道传承，得玄灵道典，开血脉眼瞳，从此开始了他的妖孽人生...他金针救...?详细>>,http://book.km.com/shuku/1418923.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
辣手狂医,日当午,第一千八百三十一章 不羡鸳鸯不羡仙,来，小妹妹，让哥哥给你摸一摸，看你什么时候变成36D！来，大美女，让哥哥给你针灸一下，让你变成绝世尤...?详细>>,http://book.km.com/shuku/1258118.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真强少在校园,唐箫,第1823章 唐武,为了活命就必须靠近女人，这是什么破规矩？唐铮拥有九阳圣体这千年难遇的身体，却不得不吸收纯阴之力才能活...?详细>>,http://book.km.com/shuku/1339421.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
阴阳代理人,暗丶修兰,新书正式发布！,无论你信不信这个世界上有鬼，我却从小和它们为伍。我叫端木森，没有十岁之前的记忆，也不知道自己的父母是...?详细>>,http://book.km.com/shuku/930608.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神魂丹帝,浊酒一湖,第889章　四方云动,少年十年坚持，却惨遭未婚妻夺取武魂而亡！穿越觉醒神秘武魂的秦朗，发誓绝不再让别人左右自己的命运！自己...?详细>>,http://book.km.com/shuku/1488685.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
透视小毒医,周大少,第1358章 败走,王兵只是个小保安，直到那天他遇到了丧尽天良的师父，从此他的人生轨迹发生了翻天覆地的变化。美女，你信不...?详细>>,http://book.km.com/shuku/1454737.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
英雄联盟之无敌抽奖系统,寒夜生花,第两千五百五十五章 有缘千里来相会,【火爆热销书】普通高三学生苏明，偶然获得了英雄联盟抽奖系统，能够获得游戏中的物品跟英雄技能，并且在现...?详细>>,http://book.km.com/shuku/1412958.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强狂暴系统,九狂,第三千三百八十三章 招待公主,左手诛仙剑，右手灭神刀。身穿九龙甲，脚踏至尊鞋。张天昊无意间穿越真武大陆。觉醒最强狂暴系统。他的口号...?详细>>,http://book.km.com/shuku/1411843.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九阳绝神,傲苍穹,第2227章　灭世大劫(终章),天上有仙，我必斩之！九天十地，唯我绝神！天下第一刺客，亦是天下第一剑客的荆轲，刺杀荒天帝失败，却意外...?详细>>,http://book.km.com/shuku/1326058.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
仙帝归来,风无极光,01661章,三年前，云青岩从凡人界意外坠入仙界。三千年后，他成为叱咤仙界的云帝。破开虚空，回到凡人界的云青岩发现...?详细>>,http://book.km.com/shuku/1454564.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三界红包群,小教主,第2579章 公主服软,天地人三界，仙妖鬼三族，齐聚同一个红包群！太上老君抽玉溪！阎王大神迷辣条！如意猴毛拔秃噜！哮天犬狗粮...?详细>>,http://book.km.com/shuku/1409651.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的冰山总裁老婆,黄枫雨天,第2466章 选拔赛（4）,他是赫赫有名的战争机器，让地下世界闻风丧胆的“死神。”因一场事故回归都市，跟冰山女总裁订立有名无实的...?详细>>,http://book.km.com/shuku/1409657.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙组兵王,尘风,1275：生命中的过客（全书完）,大英有军情处六处，M国有CIA，而夏国则有龙组，他们被誉为是东方的神秘力量。一个被淘汰录取的尖兵再次...?详细>>,http://book.km.com/shuku/1412896.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
九天神龙诀,秋风揽月,第1845章 特殊的灵气,穿越异世后，我发誓，要修最强的神通，睡最美的女人，九天十地，唯我独尊！?详细>>,http://book.km.com/shuku/1364492.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强神话帝皇,任我笑,第一千七百八十二章 堂绝世,穿越成为被贬皇子，所幸老天没有让秦君绝望，激活神话系统！神话中一切角色都可以被召唤！齐天大圣孙悟空，...?详细>>,http://book.km.com/shuku/1444667.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
星辰变,我吃西红柿,番茄新书《飞剑问道》第一章已经上传！,一名孩童，天生无法修炼内功。为了得到父亲的重视关注，他毅然选择了修炼痛苦艰难的外功。春去秋来，时光如...?详细>>,http://book.km.com/shuku/90776.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
透视仙医,有一眼,第2154章 进入仙界,平凡小子偶得神鼎，不但可以炼制种种神丹仙药，无病不治，还造就一双火眼金睛，能透视，能治病，从此以后，...?详细>>,http://book.km.com/shuku/1390711.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
至尊少年王,飞舞激扬,"第二千二百〇一章		致命绝地（大结局）",“十步杀一人，千里不留行。事了拂衣去，我是陆子明１年仅十五岁的山村少年陆子明，上山采药途中遇到困在毒...?详细>>,http://book.km.com/shuku/1349762.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
透视医仙,黄落碧泉,第一千零七十四章 妖修猖狂,一次意外让黄昊获得了无上仙瞳与医仙传承，不但拥有了透视的能力，还拥有无敌的医术。从此，清纯大学生、可...?详细>>,http://book.km.com/shuku/1392308.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重任,曲封,第1268章  主政辽东（大结局）,看一个小小的列车员是如何登上权力颠峰的?详细>>,http://book.km.com/shuku/255395.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
弹痕,纷舞妖姬,第八卷 第五十二章 战斗的音符（大结局）,当过兵，站过岗，上过处女入过党。打过枪，玩过炮，还和拉登拍过照。走过南，闯过北，拉着死神跳过舞。挨过...?详细>>,http://book.km.com/shuku/171772.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天下枭雄,高月,尾声,这是一个英雄辈出的时代，李世民、窦建德、王世充、李密、萧铣、张须陀、李靖、苏定方……大浪淘尽，千古风...?详细>>,http://book.km.com/shuku/143881.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逍遥小神农,叶三仙,第1128章 终章,美女，想成仙吗？我有床上神功，保你一夜成仙！新时代大学生农民，意外得到药皇传承，逆天崛起！每天晚上十...?详细>>,http://book.km.com/shuku/1409658.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
桃运医神,忘言,第2756章　大结局,他带着精湛的医术重回都市，只为报恩，复仇。却阴差阳错成了各类顶级美女们的抢手货。古灵精怪的清纯师妹，...?详细>>,http://book.km.com/shuku/1327206.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝世药神,风一色,第两千三百三十四章 简家的好奇心，是天生的,一代丹帝被奸人陷害从此，世上少了一个青云子，多了一个无敌纨绔重走丹药大道何以逆苍天，以我手中药！?详细>>,http://book.km.com/shuku/1351282.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级小农民,高山,第2616章 风雪夜归人,夏阳是标准的农二代，高考落榜后就被迫扛起锄头在村里打理自家那片菜地，某天意外得到一个神秘的玉石之后，...?详细>>,http://book.km.com/shuku/1340346.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
仙逆,耳根,第十三卷 灯火阑珊 第2088章 蓦然回首（结局）,顺为凡，逆则仙，只在心中一念间……?详细>>,http://book.km.com/shuku/170906.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逍遥小书生,荣小荣,新书及完结感言,21世纪工科男，穿越古代成为一名穷书生。大脑里面居然装着一个图书馆，各种知识应有尽有！这辈子不说封侯...?详细>>,http://book.km.com/shuku/1431663.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品桃花运,何老狐,第2521章 地球，我回来了（终章）,七生花，七种异能。绝世佳肴？我挥手之间；天籁之乐，我随便就能唱出来；武道高手，不够我几招打；令人神魂...?详细>>,http://book.km.com/shuku/1327712.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天道图书馆,横扫天涯,第一千二百六十七章 惊人的赌注,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图...?详细>>,http://book.km.com/shuku/1413166.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我老婆是鬼王,羽衣老吴,第2109章 一把剑！,”帅哥，加个微信呗。”“美女，你快走吧。我老婆就在旁边瞪你呢。”“帅哥真会说笑，旁边哪有人。”傅洋叹...?详细>>,http://book.km.com/shuku/1412941.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
唐砖,孑与2,新书预告，《银狐》登陆,梦回长安，鲜血浸染了玄武门，太极宫的深处只有数不尽的悲哀，民为水，君为舟，的朗朗之音犹在长安大地回绕...?详细>>,http://book.km.com/shuku/185465.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
从神迹走出的强者,杜灿,第2663章　终章,肉身是天地最玄奥莫测的，修仙便是一步步从凡人肉仙境修至人仙，逆星辰，斗苍穹，得永生，便是修士。本书讲...?详细>>,http://book.km.com/shuku/202525.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强兵王,雷帝嘎嘎,第669章 王家大人物来了,在国际暗黑界排名第一的佣兵之王重归都市，见惯铁与火血与沙的他本只想过一段平凡而安逸的日子，然树欲静而...?详细>>,http://book.km.com/shuku/1464918.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我是阴阳人,小叙,第666章 成长,我妈说我出生的时候她一个反应是要掐死我，只因我雌雄难辨。奶奶骂我是个怪胎，丧门星，只会让家里人蒙羞。...?详细>>,http://book.km.com/shuku/1418005.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
余罪,常书欣,终章 岁月易老,热播剧《余罪》原著小说！警官学校秘密训条：慈不掌兵、善不从警。好人当不了警察，因为在作奸犯科的人看来...?详细>>,http://book.km.com/shuku/287238.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
功夫兵王,拓跋小妖,第二千零四十五章 大结局,从小习武，在欧洲暗黑世界称神的萧衍，忽然接到了归国任务，任务的主要内容，竟然是保护娇滴滴的女总裁。而...?详细>>,http://book.km.com/shuku/1390682.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
女总裁的神级佣兵,我域我行,第2750章 终于圆满【大结局】,激情和热血是本书的主旋律！他，身世成迷，被国家所弃。她，美艳聪绝，却红颜多舛。令西方黑暗世界闻风丧胆...?详细>>,http://book.km.com/shuku/1392615.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
抗日之最强战兵,向左看寂寥,第1597章  大结局,前海军陆战队邓阳意外来到一九三七，带领三百人残部苦守村庄，守护数万百姓，五百人纵横驰骋，怒闯南京。邓...?详细>>,http://book.km.com/shuku/1342945.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
开着外挂闯三国,一蓑烟雨dj,第1628章 大结局,曹操：吾不及子虎多矣；吕布：诸般武艺，吾只服子虎一人；诸葛亮：既生亮何生风！刘备：能文能武，你丫的开...?详细>>,http://book.km.com/shuku/1445579.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逆天邪神,无敌贱客,第3053章　我想试试,乱世之中，拥妖、佛、魔、儒、玄、鬼、道七方强者，各自为道，夺天地之造化，称乱世之霸主。谁主沉浮间，将...?详细>>,http://book.km.com/shuku/1377303.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
校园修仙狂少,炎哥,第一千九百五十五章  回归校园（大结局）,少年得到神仙意志会怎么样？除了会升职加薪，当上总经理，出任CEO外，还要专治各种不服。?详细>>,http://book.km.com/shuku/1408786.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
水浒之特种兵王,妖惑天下,第两千两百二十一章 结束？,特种兵王陈枭穿越到了水浒世界，利用现代知识忽悠梁山好汉，拐骗水泊英雄，打造出一支属于他的精锐水浒军！...?详细>>,http://book.km.com/shuku/1376144.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女总裁爱上小保安：绝世高手,问鼎,第2363章太空巨兽,雇佣兵王陈扬回归都市，只为保护战友的女神妹妹。繁华都市里，陈扬如鱼得水，，逍遥自在。然而，是龙终归要...?详细>>,http://book.km.com/shuku/1333814.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
至尊修罗,十月流年,第1011章：穆狂机缘（五更）,用杀戮证有情之道，以鲜血写修罗之名！奸雄当道，乱世天年，铁血少年自强不息。父亲被奸人所害，二十万同袍...?详细>>,http://book.km.com/shuku/1474518.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之绝世武神,风一刀,第2656章　魔族完了,绝代武神杨腾因得到一件帝器，遭人陷害引来杀身之祸，重生在十六岁。凭借着千年阅历学识，杨腾飞速成长。拳...?详细>>,http://book.km.com/shuku/1326081.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
带着仓库到大明,迪巴拉爵士,第2207章 谁的心思变了,方醒穿了，带着两个仓库穿了！别人穿越是带着王霸之气，方醒却是只想种田！“我只想在这个时代悠闲的活着１...?详细>>,http://book.km.com/shuku/1413185.html,https://img4.km.com/bookimg/public/images/cover/c4ca/thumb3/8fe391eda361b6e89b331a821c26a919.png
马前卒,枪手1号,第一千六百一十六章:落花流水,不停地战斗，不停的杀敌，秦风是国家的悍将，军队的马前卒，永远冲锋在第一线，用赫赫战功书写着自己光荣的...?详细>>,http://book.km.com/shuku/1413202.html,https://img5.km.com/bookimg/public/images/cover/c4ca/thumb3/f8367c46a95d84f17ac66534ff3efcea.jpg
狼牙兵王,蝼蚁望天,第832章 战争，唯有战斗,在中国，有这么一支部队。他们没有番号，没有档案，他们的一切都是空白的。他们被国家称之为最强兵器，被敌...?详细>>,http://book.km.com/shuku/1480223.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强屠龙系统,一眉道长,第3195章　问道境傀儡,龙之大陆，巨龙凌驾诸天，霸凌天下，对人族掌有生杀大权。地球上一个年轻的黑道大佬，被手下出卖，魂穿龙之...?详细>>,http://book.km.com/shuku/1412458.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
乡村小神仙,萧然,第2011章 离别的不舍之终章,萧山盛，被女友母亲拒婚，在公王庙偶得一玉瓶，学会行云布雨法术，护佑一方水土，让乡村风调雨顺，种啥啥值...?详细>>,http://book.km.com/shuku/1391185.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
灭世武修,天上无鱼,第二千六百四十二章 大风起兮 三,一条枷锁，链住万千星域。一颗心脏，沉浮黎明破晓。无数位面大陆，宗门林立，站在绝巅者，可笑苍天，瞰大地...?详细>>,http://book.km.com/shuku/225485.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
问鼎巅峰,十月流年,新书公告,昔有豪男儿，义气重然诺。睚眦即杀人，身比鸿毛轻。又有雄与霸，杀人乱如麻，驰骋走天下，只将刀枪夸。今欲...?详细>>,http://book.km.com/shuku/1392459.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝品小仙医,白色企鹅,第2689章 真搞事情！,神秘高手回村，会医术，会武术，利用那超乎常人的手段带领村民走向致富道路。?详细>>,http://book.km.com/shuku/1412927.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
